TimeStamp,Frequency,feeling_positive,feeling_negative,Class
11,1,1,0,Reader_2_10.csv
11,15,7,8,Reader_2_11.csv
11,24,13,11,Reader_2_12.csv
11,0,0,0,Reader_2_2.csv
11,5,2,3,Reader_2_3.csv
11,3,0,3,Reader_2_4.csv
11,1,1,0,Reader_2_5.csv
11,2,2,0,Reader_2_6.csv
11,1,1,0,Reader_2_7.csv
11,1,1,0,Reader_2_8.csv
11,0,0,0,Reader_2_9.csv
11,80,54,26,reader_3_1.csv
11,59,52,7,Reader_3_2.csv
11,26,19,7,Reader_3_3.csv
11,26,19,7,Reader_3_4.csv
11,16,14,2,Reader_3_5.csv
11,17,12,5,Reader_3_6.csv
11,4,4,0,Reader_3_7.csv
12,29,20,9,Reader_1_1.csv
12,1,1,0,Reader_1_10.csv
12,7,4,3,Reader_1_11.csv
12,3,3,0,Reader_1_12.csv
12,3,2,1,Reader_1_2.csv
12,5,4,1,Reader_1_3.csv
12,0,0,0,Reader_1_4.csv
12,35,30,5,Reader_1_5.csv
12,3,3,0,Reader_1_6.csv
12,4,4,0,Reader_1_7.csv
12,1,0,1,Reader_1_8.csv
12,0,0,0,Reader_1_9.csv
12,10,8,2,Reader_2_1.csv
12,1,1,0,Reader_2_10.csv
12,12,5,7,Reader_2_11.csv
12,24,14,10,Reader_2_12.csv
12,0,0,0,Reader_2_2.csv
12,9,3,6,Reader_2_3.csv
12,2,0,2,Reader_2_4.csv
12,1,1,0,Reader_2_5.csv
12,1,1,0,Reader_2_6.csv
12,1,1,0,Reader_2_7.csv
12,1,1,0,Reader_2_8.csv
12,0,0,0,Reader_2_9.csv
12,79,55,24,reader_3_1.csv
12,59,52,7,Reader_3_2.csv
12,26,19,7,Reader_3_3.csv
12,26,19,7,Reader_3_4.csv
12,13,12,1,Reader_3_5.csv
12,18,12,6,Reader_3_6.csv
12,4,4,0,Reader_3_7.csv
13,27,18,9,Reader_1_1.csv
13,2,2,0,Reader_1_10.csv
13,7,4,3,Reader_1_11.csv
13,3,3,0,Reader_1_12.csv
13,3,2,1,Reader_1_2.csv
13,4,3,1,Reader_1_3.csv
13,0,0,0,Reader_1_4.csv
13,25,22,3,Reader_1_5.csv
13,3,3,0,Reader_1_6.csv
13,3,3,0,Reader_1_7.csv
13,0,0,0,Reader_1_8.csv
13,0,0,0,Reader_1_9.csv
13,10,8,2,Reader_2_1.csv
13,1,1,0,Reader_2_10.csv
13,11,5,6,Reader_2_11.csv
13,23,13,10,Reader_2_12.csv
13,0,0,0,Reader_2_2.csv
13,9,3,6,Reader_2_3.csv
13,2,0,2,Reader_2_4.csv
13,1,1,0,Reader_2_5.csv
13,1,1,0,Reader_2_6.csv
13,1,1,0,Reader_2_7.csv
13,1,1,0,Reader_2_8.csv
13,0,0,0,Reader_2_9.csv
13,74,52,22,reader_3_1.csv
13,65,56,9,Reader_3_2.csv
13,28,20,8,Reader_3_3.csv
13,28,20,8,Reader_3_4.csv
13,13,13,0,Reader_3_5.csv
13,17,12,5,Reader_3_6.csv
13,4,4,0,Reader_3_7.csv
14,25,16,9,Reader_1_1.csv
14,3,3,0,Reader_1_10.csv
14,7,4,3,Reader_1_11.csv
14,2,2,0,Reader_1_12.csv
14,1,0,1,Reader_1_2.csv
14,4,3,1,Reader_1_3.csv
14,0,0,0,Reader_1_4.csv
14,24,21,3,Reader_1_5.csv
14,4,4,0,Reader_1_6.csv
14,2,2,0,Reader_1_7.csv
14,0,0,0,Reader_1_8.csv
14,0,0,0,Reader_1_9.csv
14,8,8,0,Reader_2_1.csv
14,1,1,0,Reader_2_10.csv
14,9,5,4,Reader_2_11.csv
14,20,13,7,Reader_2_12.csv
14,0,0,0,Reader_2_2.csv
14,10,3,7,Reader_2_3.csv
14,2,0,2,Reader_2_4.csv
14,1,1,0,Reader_2_5.csv
14,1,1,0,Reader_2_6.csv
14,1,1,0,Reader_2_7.csv
14,1,1,0,Reader_2_8.csv
14,0,0,0,Reader_2_9.csv
14,76,57,19,reader_3_1.csv
14,65,55,10,Reader_3_2.csv
14,28,20,8,Reader_3_3.csv
14,28,20,8,Reader_3_4.csv
14,12,11,1,Reader_3_5.csv
14,22,17,5,Reader_3_6.csv
14,6,6,0,Reader_3_7.csv
15,26,16,10,Reader_1_1.csv
15,3,3,0,Reader_1_10.csv
15,8,5,3,Reader_1_11.csv
15,2,2,0,Reader_1_12.csv
15,2,1,1,Reader_1_2.csv
15,3,2,1,Reader_1_3.csv
15,0,0,0,Reader_1_4.csv
15,22,18,4,Reader_1_5.csv
